Which country is known as the “Land of Fire and Ice”?,Iceland,Norway,Finland,Sweden,Iceland
Which planet has the shortest day?,Jupiter,Saturn,Mars,Venus,Jupiter
Who is the author of 'The Little Prince'?,Antoine de Saint-Exupéry,J.K. Rowling,George Orwell,Mark Twain,Antoine de Saint-Exupéry
What is the largest species of penguin?,Emperor Penguin,King Penguin,Adelie Penguin,Chinstrap Penguin,Emperor Penguin
Which is the longest river in South America?,Amazon,Nile,Yangtze,Mississippi,Amazon
Which is the largest ocean in the world?,Pacific,Atlantic,Indian,Arctic,Pacific
Who invented the first airplane?,Wright Brothers,Alexander Graham Bell,Nikola Tesla,Thomas Edison,Wright Brothers
Which gas is essential for respiration?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
Which animal is known for having a pouch?,Kangaroo,Koala,Elephant,Tiger,Kangaroo
Which country is famous for the Colosseum?,Italy,Greece,France,Spain,Italy
Which planet is the largest in the solar system?,Jupiter,Saturn,Mars,Earth,Jupiter
Who wrote 'Hamlet'?,William Shakespeare,Mark Twain,Charles Dickens,Jane Austen,William Shakespeare
Which country is known as the “Emerald Isle”?,Ireland,Scotland,Norway,Sweden,Ireland
Which element has the chemical symbol 'Mg'?,Magnesium,Manganese,Mercury,Mo,Magnesium
Who is known as the father of Indian nuclear program?,Homi J. Bhabha,Abdul Kalam,Jagadish Chandra Bose,C.V. Raman,Homi J. Bhabha
Which organ stores urine?,Bladder,Liver,Kidney,Stomach,Bladder
Which is the fastest marine mammal?,Dolphin,Shark,Seal,Whale,Dolphin
What is the capital of Canada?,Ottawa,Toronto,Montreal,Vancouver,Ottawa
Which gas is used in fluorescent lamps?,Argon,Neon,Helium,Krypton,Argon
Who discovered radioactivity?,Marie Curie,Albert Einstein,Isaac Newton,Nikola Tesla,Marie Curie
Which is the largest coral reef system in the world?,Great Barrier Reef,Red Sea Reef,Mesoamerican Reef,Florida Reef,Great Barrier Reef
Which planet is known for its storm called the “Great Red Spot”?,Jupiter,Saturn,Mars,Uranus,Jupiter
Who is the author of 'War and Peace'?,Leo Tolstoy,Charles Dickens,Mark Twain,Victor Hugo,Leo Tolstoy
Which is the largest mammal on land?,Elephant,Blue Whale,Rhino,Hippopotamus,Elephant
Which is the most abundant metal in the Earth's crust?,Aluminum,Iron,Gold,Silver,Aluminum
Which country is called the “Land of the Maple Leaf”?,Canada,USA,UK,Australia,Canada
What is the largest artery in the human body?,Aorta,Carotid,Coronary,Jugular,Aorta
Which planet has the most volcanoes?,Venus,Mars,Jupiter,Earth,Venus
Who discovered the first vaccine?,Edward Jenner,Louis Pasteur,Alexander Fleming,Marie Curie,Edward Jenner
Which is the largest species of bear?,Polar Bear,Grizzly Bear,Black Bear,Panda Bear,Polar Bear
Which element has the chemical symbol 'Zn'?,Zinc,Zirconium,Neon,Nickel,Zinc
Who wrote 'Les Misérables'?,Victor Hugo,Charles Dickens,Mark Twain,Leo Tolstoy,Victor Hugo
Which animal lays the largest eggs?,Ostrich,Emu,Chicken,Turkey,Ostrich
Which is the tallest building in the world?,Burj Khalifa,Shanghai Tower,One World Trade Center,Petronas Towers,Burj Khalifa
Which planet is known as the Morning Star?,Venus,Mars,Mercury,Jupiter,Venus
Who is the author of 'The Chronicles of Narnia'?,C.S. Lewis,J.K. Rowling,Roald Dahl,George Orwell,C.S. Lewis
Which gas is used in fire extinguishers?,Carbon Dioxide,Oxygen,Nitrogen,Helium,Carbon Dioxide
Which is the smallest planet in the solar system?,Mercury,Mars,Venus,Pluto,Mercury
Who invented the polio vaccine?,Jonas Salk,Albert Sabin,Alexander Fleming,Edward Jenner,Jonas Salk
Which animal is known as the Ship of the Desert?,Camel,Horse,Elephant,Donkey,Camel
Which country is called the “Land of Smiles”?,Thailand,Japan,China,India,Thailand
Who discovered the neutron?,James Chadwick,Ernest Rutherford,Niels Bohr,Marie Curie,James Chadwick
Which element is used in making pencils?,Graphite,Carbon,Iron,Lead,Graphite
Which is the largest country by area?,Russia,Canada,China,USA,Russia
What is the largest organ inside the human body?,Liver,Heart,Lungs,Kidney,Liver
Which planet has the highest number of natural satellites?,Saturn,Jupiter,Uranus,Neptune,Saturn
Who is known as the father of modern astronomy?,Galileo Galilei,Isaac Newton,Albert Einstein,Nikola Tesla,Galileo Galilei
Which river is called the “Sorrow of Bengal”?,Damodar,Ganga,Brahmaputra,Yamuna,Damodar
Which animal is known as the “King of the Arctic”?,Polar Bear,Walrus,Seal,Arctic Fox,Polar Bear
Which gas is used in electric bulbs?,Argon,Neon,Helium,Krypton,Argon
What is the chemical formula for methane?,CH4,CO2,H2O,NH3,CH4
Which organ controls hormones in the body?,Pituitary,Liver,Pancreas,Thyroid,Pituitary
Which country is home to the Taj Mahal?,India,Pakistan,Bangladesh,Nepal,India
Which is the largest desert in Africa?,Sahara,Gobi,Kalahari,Libyan,Sahara
Who discovered the first transistor?,John Bardeen,Albert Einstein,Thomas Edison,Nikola Tesla,John Bardeen
Which animal is known for long neck?,Giraffe,Elephant,Kangaroo,Horse,Giraffe
Which planet is famous for its rings?,Saturn,Jupiter,Mars,Venus,Saturn
Which is the largest island in the world?,Greenland,Madagascar,Borneo,New Guinea,Greenland
Who wrote 'Anna Karenina'?,Leo Tolstoy,Mark Twain,Charles Dickens,Victor Hugo,Leo Tolstoy
Which is the fastest bird on earth?,Peregrine Falcon,Eagle,Hawk,Sparrow,Peregrine Falcon
question,option1,option2,option3,option4,answer
Which planet is known as the “Giant Planet”?,Jupiter,Saturn,Uranus,Neptune,Jupiter
Who is known as the “Father of Modern Physics”?,Albert Einstein,Isaac Newton,Nikola Tesla,Galileo Galilei,Albert Einstein
Which element is liquid at room temperature?,Mercury,Bromine,Gold,Silver,Mercury
Which is the largest bird in the world?,Ostrich,Eagle,Albatross,Condor,Ostrich
Who wrote 'Pride and Prejudice'?,Jane Austen,Charles Dickens,Mark Twain,Leo Tolstoy,Jane Austen
Which organ is responsible for digestion?,Stomach,Liver,Pancreas,Intestine,Stomach
Which planet is farthest from the Sun?,Neptune,Uranus,Saturn,Jupiter,Neptune
Who discovered electricity?,Benjamin Franklin,Thomas Edison,Nikola Tesla,Michael Faraday,Benjamin Franklin
Which is the largest species of shark?,Whale Shark,Great White Shark,Hammerhead Shark,Tiger Shark,Whale Shark
Which country is famous for Mount Fuji?,Japan,China,Thailand,South Korea,Japan
Which is the smallest bone in the human body?,Stapes,Femur,Humerus,Tibia,Stapes
Who is known as the “Father of Computers”?,Charles Babbage,Alan Turing,Bill Gates,Steve Jobs,Charles Babbage
Which planet is known as the Morning Star?,Venus,Mercury,Mars,Jupiter,Venus
Which gas is necessary for photosynthesis?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,Carbon Dioxide
Which is the largest land carnivore?,Polar Bear,Tiger,Lion,Grizzly Bear,Polar Bear
Who invented the printing press?,Johannes Gutenberg,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Johannes Gutenberg
Which element has the chemical symbol 'Na'?,Sodium,Nitrogen,Neon,Nickel,Sodium
Which animal is known as the “Ship of the Desert”?,Camel,Elephant,Horse,Donkey,Camel
Which planet has a ring system?,Saturn,Jupiter,Mars,Venus,Saturn
Who wrote 'The Divine Comedy'?,Dante Alighieri,William Shakespeare,Mark Twain,Leo Tolstoy,Dante Alighieri
Which organ regulates metabolism?,Thyroid,Pancreas,Liver,Heart,Thyroid
Which is the largest country in South America?,Brazil,Argentina,Chile,Peru,Brazil
Which planet is known as the “Evening Star”?,Venus,Mars,Saturn,Jupiter,Venus
Who is known as the “Father of Medicine”?,Hippocrates,Galileo,Isaac Newton,Albert Einstein,Hippocrates
Which gas is most abundant in the human body?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
Which animal is the fastest in the ocean?,Sailfish,Shark,Dolphin,Tuna,Sailfish
Which country is famous for the Pyramids?,Egypt,Mexico,India,China,Egypt
Which is the smallest continent by area?,Australia,Europe,Antarctica,Africa,Australia
Who discovered the circulation of blood?,William Harvey,Alexander Fleming,Edward Jenner,Marie Curie,William Harvey
Which planet is called the “Ice Giant”?,Neptune,Jupiter,Saturn,Mars,Neptune
Which element is needed for thyroid function?,Iodine,Iron,Calcium,Potassium,Iodine
Which organ removes toxins from the blood?,Liver,Kidney,Heart,Lungs,Liver
Which country is known as the “Land of Thunder Dragon”?,Bhutan,Nepal,Thailand,Japan,Bhutan
Who developed the polio vaccine?,Jonas Salk,Albert Sabin,Alexander Fleming,Edward Jenner,Jonas Salk
Which is the largest species of lizard?,Komodo Dragon,Iguana,Gecko,Chameleon,Komodo Dragon
Which gas is used in balloons?,Helium,Oxygen,Nitrogen,Carbon Dioxide,Helium
Which animal is known for its long neck?,Giraffe,Elephant,Horse,Kangaroo,Giraffe
Who discovered radio waves?,Heinrich Hertz,James Clerk Maxwell,Nikola Tesla,Michael Faraday,Heinrich Hertz
Which is the largest island in the world?,Greenland,Madagascar,Borneo,New Guinea,Greenland
Which element has the chemical symbol 'Hg'?,Mercury,Gold,Silver,Lead,Mercury
Who wrote 'To Kill a Mockingbird'?,Harper Lee,J.K. Rowling,George Orwell,Mark Twain,Harper Lee
Which planet is closest to the Earth?,Venus,Mars,Jupiter,Saturn,Venus
Which organ produces bile?,Liver,Pancreas,Stomach,Kidney,Liver
Which is the fastest land animal?,Cheetah,Lion,Tiger,Leopard,Cheetah
Who invented the light bulb?,Thomas Edison,Alexander Graham Bell,Nikola Tesla,James Watt,Thomas Edison
Which country is known as the “Land of the Midnight Sun”?,Norway,Sweden,Finland,Iceland,Norway
Which is the largest desert in the world?,Antarctic,Sahara,Gobi,Kalahari,Antarctic
Which gas do humans breathe in?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
Who painted 'Starry Night'?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Michelangelo,Vincent van Gogh
Which planet is known for its Great Red Spot?,Jupiter,Saturn,Mars,Uranus,Jupiter
Who is the author of 'Don Quixote'?,Miguel de Cervantes,Leo Tolstoy,Mark Twain,Victor Hugo,Miguel de Cervantes
Which is the largest mammal?,Blue Whale,Elephant,Rhino,Hippopotamus,Blue Whale
Which country gifted the Statue of Liberty to the USA?,France,Italy,Germany,England,France
Which is the longest river in the world?,Nile,Amazon,Ganga,Yangtze,Nile
Who is known as the “Father of Computers”?,Charles Babbage,Alan Turing,Bill Gates,Steve Jobs,Charles Babbage
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,Mars
Which is the chemical symbol for gold?,Au,Ag,Gd,Go,Au
How many bones are in the adult human body?,206,201,208,210,206
Who wrote the national anthem of India?,Rabindranath Tagore,Bankim Chandra Chatterjee,Sarojini Naidu,Mahatma Gandhi,Rabindranath Tagore
Which country is known as the Land of the Rising Sun?,Japan,China,Thailand,India,Japan
Which ocean is the largest?,Pacific,Atlantic,Indian,Arctic,Pacific
Which part of the plant conducts photosynthesis?,Leaf,Root,Stem,Flower,Leaf
Which planet is known as the Morning Star?,Venus,Mars,Mercury,Jupiter,Venus
question,option1,option2,option3,option4,answer
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris
Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,Japan
Which ocean is the largest?,Atlantic,Indian,Pacific,Arctic,Pacific
Who wrote the national anthem of India?,Bankim Chandra Chatterjee,Rabindranath Tagore,Sarojini Naidu,Mahatma Gandhi,Rabindranath Tagore
Which is the longest river in the world?,Amazon,Nile,Ganga,Yangtze,Nile
What is H2O commonly known as?,Salt,Water,Oxygen,Hydrogen,Water
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Mercury,Mars
What part of the plant conducts photosynthesis?,Root,Stem,Leaf,Flower,Leaf
What is the chemical symbol for Gold?,Au,Ag,Gd,Go,Au
How many bones are in the adult human body?,206,201,208,210,206
Who is known as the father of computers?,Alan Turing,Charles Babbage,Bill Gates,Steve Jobs,Charles Babbage
Which company developed the iPhone?,Samsung,Apple,Nokia,Sony,Apple
What does CPU stand for?,Central Process Unit,Central Processing Unit,Computer Processing Unit,Control Processing Unit,Central Processing Unit
What is the programming language developed by Guido van Rossum?,C,Python,Java,Ruby,Python
Which social media platform owns Instagram?,Twitter,Google,Meta,Snapchat,Meta
Who was the first President of the United States?,George Washington,Abraham Lincoln,John Adams,Thomas Jefferson,George Washington
Who was the first woman to win a Nobel Prize?,Marie Curie,Mother Teresa,Rosalind Franklin,Florence Nightingale,Marie Curie
When did World War II end?,1942,1945,1947,1950,1945
Who was the last Mughal emperor?,Akbar,Aurangzeb,Bahadur Shah II,Shah Jahan,Bahadur Shah II
In which year did India gain independence?,1945,1947,1950,1952,1947
Which sport is known as the 'king of sports'?,Basketball,Football,Cricket,Tennis,Football
Who has won the most Olympic gold medals?,Usain Bolt,Michael Phelps,Carl Lewis,Mark Spitz,Michael Phelps
Which country won the FIFA World Cup in 2018?,Germany,Brazil,France,Argentina,France
"In cricket, who is known as the 'God of Cricket'?",Virat Kohli,Sachin Tendulkar,MS Dhoni,Brian Lara,Sachin Tendulkar
Which country hosts Wimbledon?,USA,UK,Australia,France,UK
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris
Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,Japan
Which ocean is the largest?,Atlantic,Indian,Pacific,Arctic,Pacific
Who wrote the national anthem of India?,Bankim Chandra Chatterjee,Rabindranath Tagore,Sarojini Naidu,Mahatma Gandhi,Rabindranath Tagore
Which is the longest river in the world?,Amazon,Nile,Ganga,Yangtze,Nile
What is H2O commonly known as?,Salt,Water,Oxygen,Hydrogen,Water
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Mercury,Mars
What part of the plant conducts photosynthesis?,Root,Stem,Leaf,Flower,Leaf
What is the chemical symbol for Gold?,Au,Ag,Gd,Go,Au
How many bones are in the adult human body?,206,201,208,210,206
Who is known as the father of computers?,Alan Turing,Charles Babbage,Bill Gates,Steve Jobs,Charles Babbage
Which company developed the iPhone?,Samsung,Apple,Nokia,Sony,Apple
What does CPU stand for?,Central Process Unit,Central Processing Unit,Computer Processing Unit,Control Processing Unit,Central Processing Unit
What is the programming language developed by Guido van Rossum?,C,Python,Java,Ruby,Python
Which social media platform owns Instagram?,Twitter,Google,Meta,Snapchat,Meta
Who was the first President of the United States?,George Washington,Abraham Lincoln,John Adams,Thomas Jefferson,George Washington
Who was the first woman to win a Nobel Prize?,Marie Curie,Mother Teresa,Rosalind Franklin,Florence Nightingale,Marie Curie
When did World War II end?,1942,1945,1947,1950,1945
Who was the last Mughal emperor?,Akbar,Aurangzeb,Bahadur Shah II,Shah Jahan,Bahadur Shah II
In which year did India gain independence?,1945,1947,1950,1952,1947
Which sport is known as the 'king of sports'?,Basketball,Football,Cricket,Tennis,Football
Who has won the most Olympic gold medals?,Usain Bolt,Michael Phelps,Carl Lewis,Mark Spitz,Michael Phelps
Which country won the FIFA World Cup in 2018?,Germany,Brazil,France,Argentina,France
"In cricket, who is known as the 'God of Cricket'?",Virat Kohli,Sachin Tendulkar,MS Dhoni,Brian Lara,Sachin Tendulkar
Which country hosts Wimbledon?,USA,UK,Australia,France,UK
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris
Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,Japan
Which ocean is the largest?,Atlantic,Indian,Pacific,Arctic,Pacific
Who wrote the national anthem of India?,Bankim Chandra Chatterjee,Rabindranath Tagore,Sarojini Naidu,Mahatma Gandhi,Rabindranath Tagore
Which is the longest river in the world?,Amazon,Nile,Ganga,Yangtze,Nile
What is H2O commonly known as?,Salt,Water,Oxygen,Hydrogen,Water
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Mercury,Mars
What part of the plant conducts photosynthesis?,Root,Stem,Leaf,Flower,Leaf
What is the chemical symbol for Gold?,Au,Ag,Gd,Go,Au
How many bones are in the adult human body?,206,201,208,210,206
Who is known as the father of computers?,Alan Turing,Charles Babbage,Bill Gates,Steve Jobs,Charles Babbage
Which company developed the iPhone?,Samsung,Apple,Nokia,Sony,Apple
What does CPU stand for?,Central Process Unit,Central Processing Unit,Computer Processing Unit,Control Processing Unit,Central Processing Unit
What is the programming language developed by Guido van Rossum?,C,Python,Java,Ruby,Python
Which social media platform owns Instagram?,Twitter,Google,Meta,Snapchat,Meta
Who was the first President of the United States?,George Washington,Abraham Lincoln,John Adams,Thomas Jefferson,George Washington
Who was the first woman to win a Nobel Prize?,Marie Curie,Mother Teresa,Rosalind Franklin,Florence Nightingale,Marie Curie
